store|year|month|prescriptionCost|totalRevenue|memberCount|newMemberCount|visitCount
康晴綜合醫療中心 (宋皇臺店）|2026|3|4553.93|54150.00|90|13|127
康晴綜合醫療中心 (宋皇臺店）|2026|2|4257.47|48490.00|85|17|110
康晴綜合醫療中心 (宋皇臺店）|2026|1|3422.40|31324.00|75|9|99
康晴綜合醫療中心 (宋皇臺店）|2025|12|6048.67|70096.00|109|55|172
康晴綜合醫療中心 (宋皇臺店）|2025|11|6481.57|72389.00|99|40|188
康晴綜合醫療中心 (宋皇臺店）|2025|10|60.41|0.00|4|0|5
康晴綜合醫療中心 (宋皇臺店）|2023|8|439.78|3150.00|10|0|12
康晴綜合醫療中心 （太子店）|2026|3|16489.39|71248.00|92|16|151
康晴綜合醫療中心 （太子店）|2026|2|15089.54|71981.00|84|27|148
康晴綜合醫療中心 （太子店）|2026|1|1000.29|16450.00|27|9|31
